text,images,videos,gender
"Bookstore Day 
 ","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428068891_10160386853536549_5264481982103582379_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=xyligGoecZkAX-nf-jV&_nc_ht=scontent-ord5-2.xx&oh=00_AfAwBfK47zTr-bMAGBBniBCT4o7vMiF2pWVm4HnsWHYL5A&oe=65D4DCFB', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428423999_10160386850316549_416997524183836824_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=CScBEK3aZh8AX-tcMyh&_nc_ht=scontent-ord5-2.xx&oh=00_AfDpkB0ShdG7aSp69-Kzy90UZ2i_8OII01ITMyPjg8lLZg&oe=65D40DE9', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428597764_10160386853841549_3541702033160204897_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=wB-0bS-2OdIAX_f8gxZ&_nc_ht=scontent-ord5-1.xx&oh=00_AfC0GobwJnxaxHj-JCffgSimcjPQU5VxNSMcYPyJ87G83g&oe=65D4E26C', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428086704_10160386854046549_7120023178571990304_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=lFREGXsaeaAAX8752o9&_nc_ht=scontent-ord5-1.xx&oh=00_AfBOmrZrt-Xp4e2kBb6o-bnEJqjFYt150TfAJOM2Dy03AA&oe=65D44E88', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428077739_10160386853711549_7149533190813739890_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=VKSEPbhXfiwAX93daoK&_nc_ht=scontent-ord5-1.xx&oh=00_AfBClq2q4bVOISYUq_piWE84uvEatRbssB3VXT19e_jTNQ&oe=65D54137']",[],M
"MBA একটা বিশেষ ডিগ্রী। অনেকেই একে সাধারণ একটা মাস্টার্সের সাথে মিলিয়ে ফেলেন। কিন্তু টপ স্কুল গুলোতে, সেটা দেশে হোক অথবা প্রবাসে— সব জায়গাতেই, MBA করতে অভিজ্ঞতা প্রয়োজন এবং এই ডিগ্রীটাকে মিড লেভেল ম্যানেজারদের জন্যে বিবেচনা করা হয়। অন্যদিকে একটা মাস্টার্স (সেটা M.Sc হতে পারে, MA হতে পারে), আপনাকে দেবে কোন বিষয়ে সুবিশেষ জ্ঞান অর্জনের সুযোগ যা বিশেষ কোন বিষয়ে স্কিল তৈরির সূচনা হতে পারে। 
.
London School of Leadership, Investment, and Technology এর ইউটিউব চ্যানেলে প্রকাশিত … See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/417440181_10160382444126549_340979102874915097_n.jpg?stp=dst-jpg_p180x540&_nc_cat=105&ccb=1-7&_nc_sid=3635dc&_nc_ohc=ICDNeLcu5rIAX8Rr_lR&_nc_ht=scontent-ord5-2.xx&oh=00_AfBwpqcsqE7ty4i7gQ7RxrUdLDW-psdWCYUHzq2wUyFZrw&oe=65D491D5'],[],M
"যারা পলিটিকাল সায়েন্সে পিএইচডি করার সুযোগ খুঁজছেন তাদের জন্যে এই স্কলারশিপটা দারুণ একটা সুযোগ। ইউনিভার্সিটি অভ লিডস ইউকের অন্যতম সেরা বিশ্ববিদ্যালয়। রাসেল গ্রুপ ইউনিভার্সিটি এবং রিসার্চে তাদের সুবিশেষ সুনাম রয়েছে। 
.
আবেদনের শেষ সময় মার্চের দ্বিতীয় সপ্তাহে। তবে তার আগে প্রস্তুতির জন্যে বেশ কিছু কাজ করতে হবে। সব কিছু সুন্দর করে গুছিয়ে লিখেছে RA Robin এই আর্টিকেলে। পড়লেই দেখতে পাবেন কত চমৎকার করে তথ্যগুলো গুছিয়ে প্রেজেন্ট করা হয়েছে।
.
তারপরও যদি কারো প্রশ্ন থাকে, আর্টিকেলেই… See more",[],[],M
"সকাল থেকে বিকেল পর্যন্ত দারুণ একটা দিন কাটলো আজ Trinity College Dublin-এ। ইনক্লুসিভিটি এমন একটা বিষয় যা সমাজের সকল ক্ষেত্রে প্রয়োগ ভীষণ জরুরী; আর শিক্ষা ক্ষেত্রে সেটা যেন সবার আগে আসা দরকার। ইতোমধ্যেই এ বিষয়ে আমি এবং আমার টিম London School of Leadership, Investment, and Technology থেকে কাজ করে চলেছি। ভবিষ্যতে সুযোগ এলে বাংলাদেশের প্রেক্ষপটেও কাজ করার ইচ্ছে রয়েছে।","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/420182258_10160379019956549_461868597552203557_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=3635dc&_nc_ohc=cDrJcB6d9j8AX_3jxGU&_nc_oc=AQlza4sbtGsXl4PrKzDX6hgyofkD-txpAb6uUAnLsb5McowaWzOrPtx8Y8adqBjstfY&_nc_ht=scontent-ord5-2.xx&oh=00_AfCHoWZF9ZbVvAMExoXy_b2kT0NmTKQ4rAw1iRmaereOQA&oe=65D4E0D3', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/418152075_10160379019951549_2176812327450225979_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=3635dc&_nc_ohc=qW86A0YPJeUAX9qqcdE&_nc_ht=scontent-ord5-2.xx&oh=00_AfBOd0-4OzRu14qQFGs3_ZSgDPrOQTt18YxvuigrSmLQkA&oe=65D56AFE', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/417444989_10160379019961549_5213305989000025141_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=3635dc&_nc_ohc=f111LAZRbzoAX_PujRK&_nc_ht=scontent-ord5-2.xx&oh=00_AfCH1Nb2yDJOFcQtTD6FUI8zyMinAUEvfFNq6377pdVN_g&oe=65D3E170', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/417433246_10160379020101549_4924434204466114211_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=3635dc&_nc_ohc=2nuaPK2kY7MAX_ZfoJ_&_nc_ht=scontent-ord5-2.xx&oh=00_AfBhDOKGrE_WFppDeZXd8viGfqCBsgc1deUdpDq4JnC66Q&oe=65D56FEF', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/417525023_10160379020106549_7461728427702092141_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=3635dc&_nc_ohc=zvFvYOEY1kUAX8G31NP&_nc_ht=scontent-ord5-1.xx&oh=00_AfBiuzhhQ_4g_n1qLOkxZaFxOl-O6TLZIi77JX2lRX0lpA&oe=65D53E04']",[],M
15 years ago on this day at Trinity College Dublin. 15 years later on the same day at Trinity College Dublin— having another tiring but exciting day.,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427152583_10160378411671549_6815807109606438577_n.jpg?stp=dst-jpg_p843x403&_nc_cat=101&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=UprzuuitUkoAX93w7Bh&_nc_ht=scontent-ord5-1.xx&oh=00_AfBW_oE6hg3--Hy8RYeUeBXJ4zS7AXPbFKnK4WRpR1-84w&oe=65D5110C'],[],M
"Bookstore Day 
 ","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428068891_10160386853536549_5264481982103582379_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=xyligGoecZkAX-nf-jV&_nc_ht=scontent-ord5-2.xx&oh=00_AfAwBfK47zTr-bMAGBBniBCT4o7vMiF2pWVm4HnsWHYL5A&oe=65D4DCFB', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/428423999_10160386850316549_416997524183836824_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=CScBEK3aZh8AX-tcMyh&_nc_ht=scontent-ord5-2.xx&oh=00_AfDpkB0ShdG7aSp69-Kzy90UZ2i_8OII01ITMyPjg8lLZg&oe=65D40DE9', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428597764_10160386853841549_3541702033160204897_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=wB-0bS-2OdIAX_f8gxZ&_nc_ht=scontent-ord5-1.xx&oh=00_AfC0GobwJnxaxHj-JCffgSimcjPQU5VxNSMcYPyJ87G83g&oe=65D4E26C', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428086704_10160386854046549_7120023178571990304_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=lFREGXsaeaAAX8752o9&_nc_ht=scontent-ord5-1.xx&oh=00_AfBOmrZrt-Xp4e2kBb6o-bnEJqjFYt150TfAJOM2Dy03AA&oe=65D44E88', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/428077739_10160386853711549_7149533190813739890_n.jpg?stp=cp6_dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=VKSEPbhXfiwAX93daoK&_nc_ht=scontent-ord5-1.xx&oh=00_AfBClq2q4bVOISYUq_piWE84uvEatRbssB3VXT19e_jTNQ&oe=65D54137']",[],M
"MBA একটা বিশেষ ডিগ্রী। অনেকেই একে সাধারণ একটা মাস্টার্সের সাথে মিলিয়ে ফেলেন। কিন্তু টপ স্কুল গুলোতে, সেটা দেশে হোক অথবা প্রবাসে— সব জায়গাতেই, MBA করতে অভিজ্ঞতা প্রয়োজন এবং এই ডিগ্রীটাকে মিড লেভেল ম্যানেজারদের জন্যে বিবেচনা করা হয়। অন্যদিকে একটা মাস্টার্স (সেটা M.Sc হতে পারে, MA হতে পারে), আপনাকে দেবে কোন বিষয়ে সুবিশেষ জ্ঞান অর্জনের সুযোগ যা বিশেষ কোন বিষয়ে স্কিল তৈরির সূচনা হতে পারে। 
.
London School of Leadership, Investment, and Technology এর ইউটিউব চ্যানেলে প্রকাশিত … See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/417440181_10160382444126549_340979102874915097_n.jpg?stp=dst-jpg_p180x540&_nc_cat=105&ccb=1-7&_nc_sid=3635dc&_nc_ohc=ICDNeLcu5rIAX8Rr_lR&_nc_ht=scontent-ord5-2.xx&oh=00_AfBwpqcsqE7ty4i7gQ7RxrUdLDW-psdWCYUHzq2wUyFZrw&oe=65D491D5'],[],M
"যারা পলিটিকাল সায়েন্সে পিএইচডি করার সুযোগ খুঁজছেন তাদের জন্যে এই স্কলারশিপটা দারুণ একটা সুযোগ। ইউনিভার্সিটি অভ লিডস ইউকের অন্যতম সেরা বিশ্ববিদ্যালয়। রাসেল গ্রুপ ইউনিভার্সিটি এবং রিসার্চে তাদের সুবিশেষ সুনাম রয়েছে। 
.
আবেদনের শেষ সময় মার্চের দ্বিতীয় সপ্তাহে। তবে তার আগে প্রস্তুতির জন্যে বেশ কিছু কাজ করতে হবে। সব কিছু সুন্দর করে গুছিয়ে লিখেছে RA Robin এই আর্টিকেলে। পড়লেই দেখতে পাবেন কত চমৎকার করে তথ্যগুলো গুছিয়ে প্রেজেন্ট করা হয়েছে।
.
তারপরও যদি কারো প্রশ্ন থাকে, আর্টিকেলেই… See more",[],[],M
"সকাল থেকে বিকেল পর্যন্ত দারুণ একটা দিন কাটলো আজ Trinity College Dublin-এ। ইনক্লুসিভিটি এমন একটা বিষয় যা সমাজের সকল ক্ষেত্রে প্রয়োগ ভীষণ জরুরী; আর শিক্ষা ক্ষেত্রে সেটা যেন সবার আগে আসা দরকার। ইতোমধ্যেই এ বিষয়ে আমি এবং আমার টিম London School of Leadership, Investment, and Technology থেকে কাজ করে চলেছি। ভবিষ্যতে সুযোগ এলে বাংলাদেশের প্রেক্ষপটেও কাজ করার ইচ্ছে রয়েছে।","['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/420182258_10160379019956549_461868597552203557_n.jpg?stp=dst-jpg_s600x600&_nc_cat=110&ccb=1-7&_nc_sid=3635dc&_nc_ohc=cDrJcB6d9j8AX_3jxGU&_nc_oc=AQlza4sbtGsXl4PrKzDX6hgyofkD-txpAb6uUAnLsb5McowaWzOrPtx8Y8adqBjstfY&_nc_ht=scontent-ord5-2.xx&oh=00_AfCHoWZF9ZbVvAMExoXy_b2kT0NmTKQ4rAw1iRmaereOQA&oe=65D4E0D3', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/418152075_10160379019951549_2176812327450225979_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=3635dc&_nc_ohc=qW86A0YPJeUAX9qqcdE&_nc_ht=scontent-ord5-2.xx&oh=00_AfBOd0-4OzRu14qQFGs3_ZSgDPrOQTt18YxvuigrSmLQkA&oe=65D56AFE', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/417444989_10160379019961549_5213305989000025141_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=3635dc&_nc_ohc=f111LAZRbzoAX_PujRK&_nc_ht=scontent-ord5-2.xx&oh=00_AfCH1Nb2yDJOFcQtTD6FUI8zyMinAUEvfFNq6377pdVN_g&oe=65D3E170', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/417433246_10160379020101549_4924434204466114211_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=3635dc&_nc_ohc=2nuaPK2kY7MAX_ZfoJ_&_nc_ht=scontent-ord5-2.xx&oh=00_AfBhDOKGrE_WFppDeZXd8viGfqCBsgc1deUdpDq4JnC66Q&oe=65D56FEF', 'https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/417525023_10160379020106549_7461728427702092141_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=3635dc&_nc_ohc=zvFvYOEY1kUAX8G31NP&_nc_ht=scontent-ord5-1.xx&oh=00_AfBiuzhhQ_4g_n1qLOkxZaFxOl-O6TLZIi77JX2lRX0lpA&oe=65D53E04']",[],M
15 years ago on this day at Trinity College Dublin. 15 years later on the same day at Trinity College Dublin— having another tiring but exciting day.,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/427152583_10160378411671549_6815807109606438577_n.jpg?stp=dst-jpg_p843x403&_nc_cat=101&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=UprzuuitUkoAX93w7Bh&_nc_ht=scontent-ord5-1.xx&oh=00_AfBW_oE6hg3--Hy8RYeUeBXJ4zS7AXPbFKnK4WRpR1-84w&oe=65D5110C'],[],M
