text,images,videos,gender
"অধ্যাপক আব্দুর রাজ্জাক একবার আহমদ ছফাকে বলেছিলেন, মানুষকে জানতে চাইলে খোঁজ নাও তারা কি খায়, আর কি পড়ে?",['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/426355521_10162218001522871_1989937767718507330_n.jpg?stp=cp6_dst-jpg_p180x540&_nc_cat=109&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=Yoe-EyCS8lgAX98ybEK&_nc_ht=scontent-ord5-1.xx&oh=00_AfAWUYXLlvwp8Grv7y3QwtXXuNs6Mj_XR5AvmtvVrVQ5Lw&oe=65D47F5B'],[],M
Campus walk,[],['https://www.facebook.com/shujon/videos/266717139791938/?__cft__[0]=AZWwDUZHJdR2tL36Lj0HdwhkJLIjhwOxMV9-Xyyyfj2fB2tEH0IDog1lDRZtrO6SdwQOr72PpcKd32p8s2YkYl6g25-kGtcYhYS2lcZJrjueoVgX3-m945Z3hE-98HGFgPugkSXcgD_C5AURHJCwMVI8QSCIOubX1lQ2iQQ_50Mwpm9gB2-4vYjFhMQA5PJFfFM&__tn__=%2B%3FFH-R'],M
Snowfall aftermath,[],['https://www.facebook.com/shujon/videos/380728837869889/?__cft__[0]=AZUWd7ItAUSrgpl2m_1H0vGj6I1u03TKcZr6XiJD0Rs4W_I131pGRTDNiSnllILI-aR60lS7tcSH9CqLzAFJ0ZHRFbmfH1gyl_hmd-396WmoelP340kRNKD9Udg3COkrVhp_4AePF1_7pWhmTz5nNJ6lEhiZOiy8kvOYwN-zmeFL7g&__tn__=%2B%3FFH-R'],M
Snowfall is heading toward us.,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/419760483_10162170648602871_8236255063232203054_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=K15-OJ5OEvQAX_bgCNA&_nc_ht=scontent-ord5-1.xx&oh=00_AfCbp__mHY_vd0rdR6VV3uPkaDoMr2Hd_5I_l-q6_8V0bg&oe=65D58A63'],['https://www.facebook.com/738937870/videos/pcb.10162169923937871/3505654853006140?__cft__[0]=AZU3ydXN4hbtoZY6kVc6ctvq5jUgMmaHwEkQ-N_Tesu4bnFXn2Lw8ssJpSLi5pXkcw9VYjIYzI_OYNdVMOOMv-FHOe85rBbQ4Ps-hwn6cXhemOYNwtV8n0v8dgxDNiyZkbo1j2FB9xitw_isywwtiQWYoRfn6aZ3-jtbD17bwicSig&__tn__=*bH-R'],M
বাংলাদেশে গণতন্ত্র নিয়ে ডেইলি স্টারে কলাম লিখেছেন আমেনা মহসিন । সেখানে তিনি বাংলাদেশের গণতন্ত্রের সংকটের জন্য বিএনপিকে দায়ী করেছেন। বিএনপির নাকি বারবার ঝুঁকি নিয়ে নির্বাচনে আসা উচিত ছিল। তাহলে আর একদলীয় নির্বাচন হতো না। কি মজা! ঝুঁকি নেবে নেকু। মজা নেবে মেকু!,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/416346649_10162162795577871_8691571147368335602_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=VyrBXf7kYBgAX-ztxTB&_nc_ht=scontent-ord5-2.xx&oh=00_AfDycxtPMfHjQzB1yvjNX6XYXbteWswedtchTwStJXJ6rA&oe=65D5CFB3'],[],M
Campus walk,[],['https://www.facebook.com/shujon/videos/266717139791938/?__cft__[0]=AZWwDUZHJdR2tL36Lj0HdwhkJLIjhwOxMV9-Xyyyfj2fB2tEH0IDog1lDRZtrO6SdwQOr72PpcKd32p8s2YkYl6g25-kGtcYhYS2lcZJrjueoVgX3-m945Z3hE-98HGFgPugkSXcgD_C5AURHJCwMVI8QSCIOubX1lQ2iQQ_50Mwpm9gB2-4vYjFhMQA5PJFfFM&__tn__=%2B%3FFH-R'],M
Snowfall aftermath,[],['https://www.facebook.com/shujon/videos/380728837869889/?__cft__[0]=AZUWd7ItAUSrgpl2m_1H0vGj6I1u03TKcZr6XiJD0Rs4W_I131pGRTDNiSnllILI-aR60lS7tcSH9CqLzAFJ0ZHRFbmfH1gyl_hmd-396WmoelP340kRNKD9Udg3COkrVhp_4AePF1_7pWhmTz5nNJ6lEhiZOiy8kvOYwN-zmeFL7g&__tn__=%2B%3FFH-R'],M
Snowfall is heading toward us.,['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/419760483_10162170648602871_8236255063232203054_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=K15-OJ5OEvQAX_bgCNA&_nc_ht=scontent-ord5-1.xx&oh=00_AfCbp__mHY_vd0rdR6VV3uPkaDoMr2Hd_5I_l-q6_8V0bg&oe=65D58A63'],['https://www.facebook.com/738937870/videos/pcb.10162169923937871/3505654853006140?__cft__[0]=AZU3ydXN4hbtoZY6kVc6ctvq5jUgMmaHwEkQ-N_Tesu4bnFXn2Lw8ssJpSLi5pXkcw9VYjIYzI_OYNdVMOOMv-FHOe85rBbQ4Ps-hwn6cXhemOYNwtV8n0v8dgxDNiyZkbo1j2FB9xitw_isywwtiQWYoRfn6aZ3-jtbD17bwicSig&__tn__=*bH-R'],M
বাংলাদেশে গণতন্ত্র নিয়ে ডেইলি স্টারে কলাম লিখেছেন আমেনা মহসিন । সেখানে তিনি বাংলাদেশের গণতন্ত্রের সংকটের জন্য বিএনপিকে দায়ী করেছেন। বিএনপির নাকি বারবার ঝুঁকি নিয়ে নির্বাচনে আসা উচিত ছিল। তাহলে আর একদলীয় নির্বাচন হতো না। কি মজা! ঝুঁকি নেবে নেকু। মজা নেবে মেকু!,['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/416346649_10162162795577871_8691571147368335602_n.jpg?stp=cp6_dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=VyrBXf7kYBgAX-ztxTB&_nc_ht=scontent-ord5-2.xx&oh=00_AfDycxtPMfHjQzB1yvjNX6XYXbteWswedtchTwStJXJ6rA&oe=65D5CFB3'],[],M
"Imagine, what would be the common topic, When researchers from different fields sit together?",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/415510829_10162153745317871_2117512383726375619_n.jpg?stp=cp6_dst-jpg_p180x540_q85&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=AxZueoYoifMAX-ubkMV&_nc_ht=scontent-ord5-2.xx&oh=00_AfCIbDBf_-0bkR5hnzShDdixVjQTZl3BUpqJNvHJPb62Cg&oe=65D5E228'],[],M
