text,images,videos,gender
"""Purno, we care about you and the memories that you share here. We thought that you'd like to look back on this post from 3 years ago.""
Yes, I do! ","['https://scontent-ord5-2.xx.fbcdn.net/v/t1.6435-9/151050756_3949122931813645_6122935337672989390_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=0bb214&_nc_ohc=nkPlnZCJptcAX8NmlqQ&_nc_ht=scontent-ord5-2.xx&oh=00_AfB7Aw4hIvBypIbFEkhXXcsLHD0tqobwODcPTbeN4qpXgQ&oe=65F89F06', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.6435-9/151644829_3949124061813532_4714191687321288089_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=0bb214&_nc_ohc=RqYaJPHAZ3IAX9Lowc1&_nc_ht=scontent-ord5-2.xx&oh=00_AfDuLyf06LR6tqvn-MWlwLmK4_ku4HqpQtgwz13iHUcr3Q&oe=65F8A5CF', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.6435-9/151545166_3949124495146822_767576541533889691_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=0bb214&_nc_ohc=xqLLbNt-uLgAX9O9e_v&_nc_ht=scontent-ord5-2.xx&oh=00_AfCT-ybwNX6jrAEGn8NkzL_fethcn4qJoKDFHq0fbhOa9A&oe=65F88A0B', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.6435-9/151530866_3949128085146463_5415454566244819982_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=0bb214&_nc_ohc=vPPD-GMaiw4AX9kSMoc&_nc_ht=scontent-ord5-2.xx&oh=00_AfCGah4eFKgKqxq60lxaB-MnkGy5sBYLMo84IEsYKeYfFg&oe=65F8888A', 'https://scontent-ord5-1.xx.fbcdn.net/v/t1.6435-9/151241037_3949135755145696_7050890858986136384_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=0bb214&_nc_ohc=V0QWOIoMQ0YAX_Dk4x5&_nc_ht=scontent-ord5-1.xx&oh=00_AfDxDekz0fHhkfIsTb1O1O5fUE2PD8w28V_4G63RjfzWqQ&oe=65F892CD']",[],M
"Our 11th Anniversary 
গুনেগুনেই সময় পার হয়েছে, চোখের নিমিষে বা দেখতে দেখতে নয়!",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/422581676_7399737030085534_5395861187854183151_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=44FKA7aKlFEAX9VBxpB&_nc_ht=scontent-ord5-2.xx&oh=00_AfAgf76QmJX7kyGNMjFUTJAyBa9T3hDtNoarkA8iFrIGIw&oe=65D6262B'],[],M
"Happy Birthday Pro 
 তার জন্ম হয়েছে ১২ই জানুয়ারি। কয়েকদিন ধরে বলতেছিলো যে ১০ই জানুয়ারি সে সেটা পালন করতে চায়!
কারণ জিজ্ঞেস করাতে বলে যে, তার জন্ম মাসের পর থেকে অদ্যবধি ২ টা লিপ-ইয়ার ( ফেব্রুয়ারি মাস= ২৯ দিন) হয়ে গেছে। আর এভাবে প্রতি ৪ বছর পর নাকি জন্মদিন ১ দিন করে পিছনে যাবে। তার হিসেবে ২০২৪ সাল লিপ-ইয়ার হওয়াতে আগামী জন্মদিন নাকি ৯ই জানুয়ারি! বুঝাইয়া বললাম যে, এবারের মতো মাফ কর, সামনে দেখা যাবে। সামনে যে আবার কোন যুক্তি দাড় করায় কে জানে",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/418150890_7275968899129015_8340072699571181703_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=Z2gE45e4p9MAX_SPnUU&_nc_ht=scontent-ord5-2.xx&oh=00_AfBkTAzNkZa8sS6WKp9GtZA41CituIFaUDDxpuipfcBabQ&oe=65D5EAD9'],[],M
"""Purno, we care about you and the memories that you share here. We thought that you'd like to look back on this post from 3 years ago.""
Yes, I do! ","['https://scontent-ord5-2.xx.fbcdn.net/v/t1.6435-9/151050756_3949122931813645_6122935337672989390_n.jpg?stp=dst-jpg_s600x600&_nc_cat=100&ccb=1-7&_nc_sid=0bb214&_nc_ohc=nkPlnZCJptcAX8NmlqQ&_nc_ht=scontent-ord5-2.xx&oh=00_AfB7Aw4hIvBypIbFEkhXXcsLHD0tqobwODcPTbeN4qpXgQ&oe=65F89F06', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.6435-9/151644829_3949124061813532_4714191687321288089_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=0bb214&_nc_ohc=RqYaJPHAZ3IAX9Lowc1&_nc_ht=scontent-ord5-2.xx&oh=00_AfDuLyf06LR6tqvn-MWlwLmK4_ku4HqpQtgwz13iHUcr3Q&oe=65F8A5CF', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.6435-9/151545166_3949124495146822_767576541533889691_n.jpg?stp=dst-jpg_s600x600&_nc_cat=103&ccb=1-7&_nc_sid=0bb214&_nc_ohc=xqLLbNt-uLgAX9O9e_v&_nc_ht=scontent-ord5-2.xx&oh=00_AfCT-ybwNX6jrAEGn8NkzL_fethcn4qJoKDFHq0fbhOa9A&oe=65F88A0B', 'https://scontent-ord5-2.xx.fbcdn.net/v/t1.6435-9/151530866_3949128085146463_5415454566244819982_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=0bb214&_nc_ohc=vPPD-GMaiw4AX9kSMoc&_nc_ht=scontent-ord5-2.xx&oh=00_AfCGah4eFKgKqxq60lxaB-MnkGy5sBYLMo84IEsYKeYfFg&oe=65F8888A', 'https://scontent-ord5-1.xx.fbcdn.net/v/t1.6435-9/151241037_3949135755145696_7050890858986136384_n.jpg?stp=dst-jpg_s600x600&_nc_cat=111&ccb=1-7&_nc_sid=0bb214&_nc_ohc=V0QWOIoMQ0YAX_Dk4x5&_nc_ht=scontent-ord5-1.xx&oh=00_AfDxDekz0fHhkfIsTb1O1O5fUE2PD8w28V_4G63RjfzWqQ&oe=65F892CD']",[],M
"Our 11th Anniversary 
গুনেগুনেই সময় পার হয়েছে, চোখের নিমিষে বা দেখতে দেখতে নয়!",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/422581676_7399737030085534_5395861187854183151_n.jpg?stp=dst-jpg_p526x296&_nc_cat=102&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=44FKA7aKlFEAX9VBxpB&_nc_ht=scontent-ord5-2.xx&oh=00_AfAgf76QmJX7kyGNMjFUTJAyBa9T3hDtNoarkA8iFrIGIw&oe=65D6262B'],[],M
"Happy Birthday Pro 
 তার জন্ম হয়েছে ১২ই জানুয়ারি। কয়েকদিন ধরে বলতেছিলো যে ১০ই জানুয়ারি সে সেটা পালন করতে চায়!
কারণ জিজ্ঞেস করাতে বলে যে, তার জন্ম মাসের পর থেকে অদ্যবধি ২ টা লিপ-ইয়ার ( ফেব্রুয়ারি মাস= ২৯ দিন) হয়ে গেছে। আর এভাবে প্রতি ৪ বছর পর নাকি জন্মদিন ১ দিন করে পিছনে যাবে। তার হিসেবে ২০২৪ সাল লিপ-ইয়ার হওয়াতে আগামী জন্মদিন নাকি ৯ই জানুয়ারি! বুঝাইয়া বললাম যে, এবারের মতো মাফ কর, সামনে দেখা যাবে। সামনে যে আবার কোন যুক্তি দাড় করায় কে জানে",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/418150890_7275968899129015_8340072699571181703_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=Z2gE45e4p9MAX_SPnUU&_nc_ht=scontent-ord5-2.xx&oh=00_AfBkTAzNkZa8sS6WKp9GtZA41CituIFaUDDxpuipfcBabQ&oe=65D5EAD9'],[],M
"""ঘুঘু ডাকা ছায়ায় ঢাকা গ্রামখানি কোন মায়া ভরে
শ্রান্তজনে হাতছানিতে ডাকত কাছে আদর করে সোহাগ ভরে
নীল শালুকে দোলন দিয়ে রঙ ফানুসে ভেসে।
ঘুমপরী সে ঘুম পাড়াত এসে কখন যাদু করে… See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/397608268_7052512218141352_428419003833640410_n.jpg?stp=dst-jpg_p180x540&_nc_cat=104&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=txJZIdYM4_UAX-nMx7k&_nc_ht=scontent-ord5-2.xx&oh=00_AfBFgSMj80ZQ1CbzPv7Uty3g4uINJLUr2yjVMe26sQ0t_w&oe=65D6DB4C'],[],M
"""ফসল হারা শুকনো মাটির, বৈশাখেতে তৃষ্ণা পেলে
সাগর থেকে জল এনে যে.. বৃষ্টি ধারায় দেব ঢেলে
আর রামধনুকে বলবো আমায় রাঙিয়ে দিয়ে যাও""","['https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-6/391581141_6952128971513011_6905261328210030687_n.jpg?stp=dst-jpg_p350x350&_nc_cat=101&ccb=1-7&_nc_sid=a73e89&_nc_ohc=FRMhjkhxFfoAX8GJ6bD&_nc_ht=scontent-ord5-1.xx&oh=00_AfBE36NiQZ-3VSdTR1aQym8N1BQZIllSr3HWcKgA0Jr-4Q&oe=65D62E3A', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/391578924_6952129158179659_90043288840533021_n.jpg?stp=dst-jpg_s600x600&_nc_cat=105&ccb=1-7&_nc_sid=a73e89&_nc_ohc=WGsNGL4cpo8AX9YlgWB&_nc_ht=scontent-ord5-2.xx&oh=00_AfDFzu3Oz-XYVuB8O6XhJ0Qguu5Vw9qFHugOt0mMwG6heA&oe=65D57B3F', 'https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/386105218_6952129328179642_5316901084728216169_n.jpg?stp=dst-jpg_s600x600&_nc_cat=102&ccb=1-7&_nc_sid=a73e89&_nc_ohc=6mes6zi4XAsAX_hO6aw&_nc_ht=scontent-ord5-2.xx&oh=00_AfDWjLDEwB6UPpeOuF5Nh8XBdmK1Wi6E5ACC3iwrYDqk9w&oe=65D67E92']",[],M
"Happy Birthday Pro 
 তার জন্ম হয়েছে ১২ই জানুয়ারি। কয়েকদিন ধরে বলতেছিলো যে ১০ই জানুয়ারি সে সেটা পালন করতে চায়!
কারণ জিজ্ঞেস করাতে বলে যে, তার জন্ম মাসের পর থেকে অদ্যবধি ২ টা লিপ-ইয়ার ( ফেব্রুয়ারি মাস= ২৯ দিন) হয়ে গেছে। আর এভাবে প্রতি ৪ বছর পর নাকি জন্মদিন ১ দিন করে পিছনে যাবে। তার হিসেবে ২০২৪ সাল লিপ-ইয়ার হওয়াতে আগামী জন্মদিন নাকি ৯ই জানুয়ারি! বুঝাইয়া বললাম যে, এবারের মতো মাফ কর, সামনে দেখা যাবে। সামনে যে আবার কোন যুক্তি দাড় করায় কে জানে",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/418150890_7275968899129015_8340072699571181703_n.jpg?stp=dst-jpg_p526x296&_nc_cat=104&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=Z2gE45e4p9MAX_SPnUU&_nc_ht=scontent-ord5-2.xx&oh=00_AfBkTAzNkZa8sS6WKp9GtZA41CituIFaUDDxpuipfcBabQ&oe=65D5EAD9'],[],M
"""ঘুঘু ডাকা ছায়ায় ঢাকা গ্রামখানি কোন মায়া ভরে
শ্রান্তজনে হাতছানিতে ডাকত কাছে আদর করে সোহাগ ভরে
নীল শালুকে দোলন দিয়ে রঙ ফানুসে ভেসে।
ঘুমপরী সে ঘুম পাড়াত এসে কখন যাদু করে… See more",['https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-6/397608268_7052512218141352_428419003833640410_n.jpg?stp=dst-jpg_p180x540&_nc_cat=104&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=txJZIdYM4_UAX-nMx7k&_nc_ht=scontent-ord5-2.xx&oh=00_AfBFgSMj80ZQ1CbzPv7Uty3g4uINJLUr2yjVMe26sQ0t_w&oe=65D6DB4C'],[],M
